Name,SWIFT,Countries,Maximum Transaction History,GoCardless account selection,Pending Transactions,Private Accounts,Business Accounts,Corporate Accounts,Institution_id,Unique aspects of bank
Andelskassen Fælleskassen,FAELDKK1,DK,730,Yes,Yes,Yes,Yes,Yes,ANDELSKASSEN_FALLESKASSEN_FAELDKK1,
Aqua card (Newday),NEWDUK00X02,GB,730,No,Yes,Yes,No,No,NEWDAY_AQUA_NEWDUK00X02,
Arbejdernes Landsbank,ALBADKKK,DK,730,Yes,Yes,Yes,Yes,Yes,ARBEJDERNES_LANDSBANK_ALBADKKK,Bank has noted that in the mornings there could be inconsistancies as they tend to do maintanance work at that time
Arbuthnot Latham,ARBUGB2LXXX,GB,90,No,Yes,Yes,Yes,Yes,ARBUTHNOT_LATHAM_ARBUGB2LXXX,
Arendal og Omegns Sparekasse,ARENNO21,NO,720,Yes,No,Yes,Yes,Yes,ARENDAL_OG_OMEGNS_SPAREKASSE_ARENNO21,
Argenta,ARSPBE22,BE,730,No,No,No,No,No,ARGENTA_ARSPBE22,
Argos card (Newday),NEWDUK00X04,GB,730,No,Yes,Yes,No,No,NEWDAY_ARGOS_NEWDUK00X04,
Arion Bank,ESJAISRE,IS,730,No,No,No,No,No,ARION_ESJAISRE,
Arkéa Banking Services,CMBRFR2BXXX,FR,90,Yes,Yes,Yes,Yes,Yes,ABS_CMBRFR2BXXX,
Arkéa Banque Entreprises et Institutionnels,CMBRFR2BXXX,FR,90,Yes,Yes,Yes,Yes,Yes,ENTREPRISES_INSTITUTIONNELS_CMBRFR2BXXX,
Arkéa Banque Privée,CMBRFR2BXXX,FR,90,Yes,Yes,Yes,Yes,Yes,BANQUE_PRIVEE_CMBRFR2BXXX,
Arquia Banca,CASDESBB,ES,730,Yes,No,Yes,No,No,ARQUIA_CASDESBB,
Artea (Šiaulių bankas),CBSBLT26XXX,LT,365,Yes,No,Yes,Yes,Yes,SIAULIU_BANKAS_CBSBLT26XXX,Currently it is only possible to retrieve 90 days of data 
Askim og Spydeberg Sparebank,ASKSNO21,NO,720,Yes,No,Yes,Yes,Yes,ASKIM_OG_SPYDEBERG_SPAREBANK_ASKSNO21,
AstroBank,PIRBCY2N,CY,730,No,No,Yes,No,No,ASTROBANK_PIRBCY2N,
Attica Bank,ATTIGRAA,GR,365,No,Yes,Yes,No,No,ATTICA_ATTIGRAA,
Aurskog Sparebank,AUSNNO21,NO,90,No,Yes,Yes,Yes,Yes,AURSKOG_SPAREBANK_AUSNNO21,
Axa Banque,AXABFRPPXXX,FR,90,Yes,Yes,Yes,No,No,AXA_AXABFRPPXXX,
BAWAG P.S.K.,BAWAATWW,AT,730,Yes,Yes,Yes,No,No,BAWAG_BAWAATWW,
BBBank,GENODE61BBB,DE,400,Yes,No,Yes,Yes,Yes,BBBANK_GENODE61BBB,
